comparison,celltype_index,mean,hdi_lower,hdi_upper,credible
overweight,0,0.20660824357310542,0.13868053610253755,0.2737007366766438,True
overweight,1,0.06022992726314868,0.01924193979908126,0.10275884683255915,True
overweight,2,-0.04532080707621186,-0.09800085037754046,0.00742607829695422,False
overweight,3,0.15761954610512066,0.06637829978993513,0.24526501314766097,True
overweight,4,0.009279739764361292,-0.02976537561860706,0.04843813112640082,False
overweight,5,0.12329270980399513,0.08985196103250837,0.15738728879879274,True
overweight,6,-0.09716107205918079,-0.14001617426453708,-0.054999328060568405,True
overweight,7,0.08511657222938745,0.009113468640516728,0.16005108187044517,True
obese,0,0.22096513961245992,0.12265195093776327,0.3196033704667389,True
obese,1,-0.014416007437302173,-0.07243313965331159,0.04496144656028518,False
obese,2,-0.183646105002019,-0.25921120377203544,-0.1073300453570482,True
obese,3,0.23369910575163616,0.1048297944088798,0.36102905092004,True
obese,4,0.02189344494392708,-0.03317058865144659,0.07666269350963667,False
obese,5,-0.08100503953083045,-0.1280437636225113,-0.03274549329228008,True
obese,6,-0.1381111891980254,-0.19709847167783218,-0.07767482985200985,True
obese,7,0.0028404387672679964,-0.10515037120026931,0.11023557966845642,False
obese_vs_overweight,0,0.014356896039354517,-0.08395044969378387,0.11673688274887849,False
obese_vs_overweight,1,-0.07464593470045086,-0.1338369396180181,-0.015470506149850754,True
obese_vs_overweight,2,-0.13832529792580714,-0.2142137484599501,-0.05923541359646554,True
obese_vs_overweight,3,0.0760795596465155,-0.05564433201336404,0.20520165715495461,False
obese_vs_overweight,4,0.012613705179565789,-0.0420725298937065,0.06778037326024727,False
obese_vs_overweight,5,-0.20429774933482558,-0.2504188200889071,-0.15744534395415707,True
obese_vs_overweight,6,-0.0409501171388446,-0.10052719957216721,0.01878209784856869,False
obese_vs_overweight,7,-0.08227613346211944,-0.19572622383776936,0.030864040482901436,False
